skill,n_jobs_with_clean_salary,median_salary,mean_salary
Machine Learning,201,157049.0,158005.0
Airflow,27,150000.0,161163.0
Docker / Kubernetes,37,148493.0,148523.0
Spark / Databricks,107,145600.0,155267.0
AWS,106,145300.0,148407.0
GCP,59,141500.0,148154.0
Git,43,140000.0,139931.0
R,122,140000.0,145420.0
Python,276,140000.0,145707.0
Azure,90,140000.0,144217.0
Statistics / Experimentation,229,134160.0,139492.0
SQL,348,130000.0,133904.0
Tableau,119,123200.0,125997.0
Power BI,121,114400.0,123884.0
Excel,151,100000.0,110278.0
