role_category,seniority_level,skill_rank,skill,n_jobs,total_jobs,pct_jobs_in_group
Business Intelligence,Junior / Entry,1,Tableau,8,12,66.67
Business Intelligence,Junior / Entry,2,SQL,8,12,66.67
Business Intelligence,Junior / Entry,3,Power BI,7,12,58.33
Business Intelligence,Junior / Entry,4,Excel,5,12,41.67
Business Intelligence,Junior / Entry,5,Python,3,12,25.0
Business Intelligence,Junior / Entry,6,Statistics / Experimentation,2,12,16.67
Business Intelligence,Junior / Entry,7,R,1,12,8.33
Business Intelligence,Junior / Entry,8,Azure,1,12,8.33
Business Intelligence,Junior / Entry,9,Spark / Databricks,1,12,8.33
Business Intelligence,Mid-Senior / Unspecified,1,SQL,32,42,76.19
Business Intelligence,Mid-Senior / Unspecified,2,Power BI,22,42,52.38
Business Intelligence,Mid-Senior / Unspecified,3,Tableau,17,42,40.48
Business Intelligence,Mid-Senior / Unspecified,4,Python,13,42,30.95
Business Intelligence,Mid-Senior / Unspecified,5,Excel,13,42,30.95
Business Intelligence,Mid-Senior / Unspecified,6,Statistics / Experimentation,10,42,23.81
Business Intelligence,Mid-Senior / Unspecified,7,R,10,42,23.81
Business Intelligence,Mid-Senior / Unspecified,8,Azure,7,42,16.67
Business Intelligence,Mid-Senior / Unspecified,9,Machine Learning,4,42,9.52
Business Intelligence,Mid-Senior / Unspecified,10,Spark / Databricks,3,42,7.14
Business Intelligence,Senior / Lead,1,SQL,32,50,64.0
Business Intelligence,Senior / Lead,2,Tableau,28,50,56.0
Business Intelligence,Senior / Lead,3,Power BI,23,50,46.0
Business Intelligence,Senior / Lead,4,Python,13,50,26.0
Business Intelligence,Senior / Lead,5,Excel,12,50,24.0
Business Intelligence,Senior / Lead,6,Statistics / Experimentation,12,50,24.0
Business Intelligence,Senior / Lead,7,Machine Learning,11,50,22.0
Business Intelligence,Senior / Lead,8,R,8,50,16.0
Business Intelligence,Senior / Lead,9,Azure,7,50,14.0
Business Intelligence,Senior / Lead,10,Spark / Databricks,5,50,10.0
Business Intelligence,Unspecified,1,SQL,34,39,87.18
Business Intelligence,Unspecified,2,Power BI,22,39,56.41
Business Intelligence,Unspecified,3,Tableau,18,39,46.15
Business Intelligence,Unspecified,4,Python,18,39,46.15
Business Intelligence,Unspecified,5,Statistics / Experimentation,17,39,43.59
Business Intelligence,Unspecified,6,Excel,14,39,35.9
