original_listed_date,role_category,n_jobs
2024-03-06,Data Engineering,1
2024-03-11,Business Intelligence,1
2024-03-12,Data Science,1
2024-03-15,Data Analytics,2
2024-03-15,Data Science,1
2024-03-17,Data Analytics,1
2024-03-21,Data Science,2
2024-03-22,Data Engineering,1
2024-03-23,Business Intelligence,2
2024-03-23,Data Analytics,2
2024-03-23,Data Engineering,2
2024-03-24,Business Intelligence,1
2024-03-24,Data Analytics,3
2024-03-24,Machine Learning / AI,3
2024-03-25,Data Analytics,6
2024-03-25,Data Science,1
2024-03-25,Machine Learning / AI,1
2024-03-26,Business Intelligence,2
2024-03-28,Data Analytics,1
2024-03-29,Business Intelligence,1
2024-04-01,Data Analytics,1
2024-04-02,Data Engineering,1
2024-04-02,Data Science,2
2024-04-02,Machine Learning / AI,1
2024-04-03,Data Engineering,1
2024-04-04,Data Analytics,2
2024-04-04,Data Science,2
2024-04-05,Business Intelligence,8
2024-04-05,Data Analytics,41
2024-04-05,Data Engineering,12
2024-04-05,Data Science,7
2024-04-05,Machine Learning / AI,6
2024-04-06,Business Intelligence,4
2024-04-06,Data Analytics,32
2024-04-06,Data Engineering,24
2024-04-06,Data Science,12
2024-04-06,Machine Learning / AI,5
2024-04-07,Data Analytics,3
2024-04-08,Business Intelligence,2
2024-04-08,Data Analytics,11
2024-04-08,Data Engineering,3
2024-04-08,Data Science,2
2024-04-09,Business Intelligence,11
2024-04-09,Data Analytics,66
2024-04-09,Data Engineering,23
2024-04-09,Data Science,12
2024-04-09,Machine Learning / AI,18
2024-04-10,Business Intelligence,1
2024-04-10,Data Analytics,1
2024-04-10,Data Engineering,1
2024-04-11,Business Intelligence,6
2024-04-11,Data Analytics,94
2024-04-11,Data Engineering,50
2024-04-11,Data Science,25
2024-04-11,Machine Learning / AI,17
2024-04-12,Business Intelligence,6
2024-04-12,Data Analytics,24
2024-04-12,Data Engineering,10
2024-04-12,Data Science,14
2024-04-12,Machine Learning / AI,8
2024-04-13,Data Analytics,1
2024-04-13,Data Science,1
2024-04-15,Business Intelligence,7
2024-04-15,Data Analytics,79
2024-04-15,Data Engineering,24
2024-04-15,Data Science,9
2024-04-15,Machine Learning / AI,8
2024-04-16,Business Intelligence,4
2024-04-16,Data Analytics,49
2024-04-16,Data Engineering,21
2024-04-16,Data Science,6
2024-04-16,Machine Learning / AI,2
2024-04-17,Business Intelligence,18
2024-04-17,Data Analytics,71
2024-04-17,Data Engineering,23
2024-04-17,Data Science,21
2024-04-17,Machine Learning / AI,3
2024-04-18,Business Intelligence,34
2024-04-18,Data Analytics,320
2024-04-18,Data Engineering,135
2024-04-18,Data Science,69
2024-04-18,Machine Learning / AI,52
2024-04-19,Business Intelligence,35
2024-04-19,Data Analytics,206
2024-04-19,Data Engineering,87
2024-04-19,Data Science,56
2024-04-19,Machine Learning / AI,56
2024-04-20,Data Analytics,1
2024-04-20,Data Science,1
2024-04-20,Machine Learning / AI,1
