original_listed_week,role_category,n_jobs
2024-03-04,Data Engineering,1
2024-03-11,Business Intelligence,1
2024-03-11,Data Analytics,3
2024-03-11,Data Science,2
2024-03-18,Business Intelligence,3
2024-03-18,Data Analytics,5
2024-03-18,Data Engineering,3
2024-03-18,Data Science,2
2024-03-18,Machine Learning / AI,3
2024-03-25,Business Intelligence,3
2024-03-25,Data Analytics,7
2024-03-25,Data Science,1
2024-03-25,Machine Learning / AI,1
2024-04-01,Business Intelligence,12
2024-04-01,Data Analytics,79
2024-04-01,Data Engineering,38
2024-04-01,Data Science,23
2024-04-01,Machine Learning / AI,12
2024-04-08,Business Intelligence,26
2024-04-08,Data Analytics,197
2024-04-08,Data Engineering,87
2024-04-08,Data Science,54
2024-04-08,Machine Learning / AI,43
2024-04-15,Business Intelligence,98
2024-04-15,Data Analytics,726
2024-04-15,Data Engineering,290
2024-04-15,Data Science,162
2024-04-15,Machine Learning / AI,122
